id,brand,description,calories,source
1,McDonald's,Hashbrown,100,sb
2,McDonald's,Coffee (1 fl oz),0,sb
3,McDonald's,Egg,40,sb
4,McDonald's,Biscuit,250,sb
5,McDonald's,Steak,150,sb
7,Kirkland Signature,Chicken Nuggets (1 oz),53.3,sb
8,Hidden Valley,Ranch Dressing (1 fl oz),50,sb
9,Coca-Cola,Coke Zero (12 fl oz),0,sb
10,Frank's,Frank's RedHot Sauce (1 fl oz),10,sb
11,Gatorade,Gatorade Zero Grape (12 fl oz),5,sb
290509,,Milk (1 cup),126.9,usda
290510,,Milk (1 fl oz),15.9,usda
290511,,Milk (1 individual school container),126.9,usda
290515,,"Milk, whole (1 cup)",148.8,usda
290516,,"Milk, whole (1 fl oz)",18.6,usda
290517,,"Milk, whole (1 individual school container)",148.8,usda
290521,,"Milk, reduced fat (2%) (1 cup)",122.0,usda
290522,,"Milk, reduced fat (2%) (1 fl oz)",15.3,usda
290523,,"Milk, reduced fat (2%) (1 individual school container)",122.0,usda
290527,,"Milk, low fat (1%) (1 cup)",104.9,usda
290528,,"Milk, low fat (1%) (1 fl oz)",13.1,usda
290529,,"Milk, low fat (1%) (1 individual school container)",104.9,usda
290533,,"Milk, fat free (skim) (1 cup)",83.0,usda
290534,,"Milk, fat free (skim) (1 fl oz)",10.4,usda
290535,,"Milk, fat free (skim) (1 individual school container)",83.0,usda
290539,,"Milk, lactose free, low fat (1%) (1 cup)",104.9,usda
290540,,"Milk, lactose free, low fat (1%) (1 fl oz)",13.1,usda
290544,,"Milk, lactose free, fat free (skim) (1 cup)",83.0,usda
290545,,"Milk, lactose free, fat free (skim) (1 fl oz)",10.4,usda
290549,,"Milk, lactose free, reduced fat (2%) (1 cup)",122.0,usda
290550,,"Milk, lactose free, reduced fat (2%) (1 fl oz)",15.3,usda
290554,,"Milk, lactose free, whole (1 cup)",148.8,usda
290555,,"Milk, lactose free, whole (1 fl oz)",18.6,usda
290559,,Buttermilk (1 cup),104.9,usda
290560,,Buttermilk (1 fl oz),13.1,usda
290562,,Kefir (1 cup),126.9,usda
290563,,Kefir (1 fl oz),15.9,usda
290565,,Goat milk (1 cup),168.4,usda
290566,,Goat milk (1 fl oz),21.0,usda
290570,,"Milk, dry, reconstituted, nonfat (1 cup)",78.1,usda
290571,,"Milk, dry, reconstituted, nonfat (1 fl oz)",9.8,usda
290575,,"Milk, dry, reconstituted, whole (1 cup)",185.4,usda
290576,,"Milk, dry, reconstituted, whole (1 fl oz)",23.2,usda
290580,,"Milk, evaporated (1 cup)",337.7,usda
290581,,"Milk, evaporated (1 fl oz)",42.2,usda
290585,,"Milk, evaporated, whole (1 cup)",337.7,usda
290586,,"Milk, evaporated, whole (1 fl oz)",42.2,usda
290590,,"Milk, evaporated, reduced fat (2%) (1 cup)",231.8,usda
290591,,"Milk, evaporated, reduced fat (2%) (1 fl oz)",29.0,usda
290594,,"Milk, evaporated, fat free (skim) (1 cup)",196.6,usda
290595,,"Milk, evaporated, fat free (skim) (1 fl oz)",24.6,usda
290602,,Non-dairy milk (1 cup),75.6,usda
290603,,Non-dairy milk (1 fl oz),9.5,usda
290612,,"Soy milk, unsweetened (1 cup)",92.7,usda
290613,,"Soy milk, unsweetened (1 fl oz)",11.6,usda
290617,,"Soy milk, chocolate (1 cup)",156.2,usda
290618,,"Soy milk, chocolate (1 fl oz)",19.5,usda
290625,,"Almond milk, chocolate (1 cup)",104.9,usda
290626,,"Almond milk, chocolate (1 fl oz)",13.1,usda
290628,,"Almond milk, unsweetened (1 cup)",36.6,usda
290629,,"Almond milk, unsweetened (1 fl oz)",4.6,usda
290633,,Almond milk (1 cup),48.8,usda
290634,,Almond milk (1 fl oz),6.1,usda
290638,,Rice milk (1 cup),114.7,usda
290639,,Rice milk (1 fl oz),14.3,usda
290643,,Oat milk (1 cup),109.8,usda
290644,,Oat milk (1 fl oz),13.7,usda
290648,,Coconut milk (1 cup),75.6,usda
290649,,Coconut milk (1 fl oz),9.5,usda
290653,,Yogurt (1 4 oz container),106.2,usda
290654,,Yogurt (1 6 oz container),159.8,usda
290655,,Yogurt (1 container),159.8,usda
290656,,Yogurt (1 cup),230.3,usda
290658,,"Yogurt, Greek (1 5.3 oz container)",136.5,usda
290659,,"Yogurt, Greek (1 6 oz container)",154.7,usda
290660,,"Yogurt, Greek (1 container)",136.5,usda
290661,,"Yogurt, Greek (1 cup)",223.0,usda
290663,,Yogurt (1 4 oz container),105.1,usda
290664,,Yogurt (1 6 oz container),158.1,usda
290665,,Yogurt (1 container),158.1,usda
290666,,Yogurt (1 cup),227.9,usda
290668,,"Yogurt, plain (1 4 oz container)",71.2,usda
290669,,"Yogurt, plain (1 6 oz container)",107.1,usda
290670,,"Yogurt, plain (1 container)",107.1,usda
290671,,"Yogurt, plain (1 cup)",154.4,usda
290673,,"Yogurt, whole milk, plain (1 4 oz container)",88.1,usda
290674,,"Yogurt, whole milk, plain (1 6 oz container)",132.6,usda
290675,,"Yogurt, whole milk, plain (1 container)",132.6,usda
290676,,"Yogurt, whole milk, plain (1 cup)",191.1,usda
290678,,"Yogurt, low fat milk, plain (1 4 oz container)",71.2,usda
290679,,"Yogurt, low fat milk, plain (1 6 oz container)",107.1,usda
290680,,"Yogurt, low fat milk, plain (1 container)",107.1,usda
290681,,"Yogurt, low fat milk, plain (1 cup)",154.4,usda
290683,,"Yogurt, nonfat milk, plain (1 4 oz container)",56.5,usda
290684,,"Yogurt, nonfat milk, plain (1 6 oz container)",85.0,usda
290685,,"Yogurt, nonfat milk, plain (1 container)",85.0,usda
290686,,"Yogurt, nonfat milk, plain (1 cup)",122.5,usda
290688,,"Yogurt, Greek, plain (1 5.3 oz container)",100.5,usda
290689,,"Yogurt, Greek, plain (1 6 oz container)",113.9,usda
290690,,"Yogurt, Greek, plain (1 container)",100.5,usda
290691,,"Yogurt, Greek, plain (1 cup)",164.2,usda
290693,,"Yogurt, Greek, whole milk, plain (1 5.3 oz container)",141.0,usda
290694,,"Yogurt, Greek, whole milk, plain (1 6 oz container)",159.8,usda
290695,,"Yogurt, Greek, whole milk, plain (1 container)",141.0,usda
290696,,"Yogurt, Greek, whole milk, plain (1 cup)",230.3,usda
290698,,"Yogurt, Greek, low fat milk, plain (1 5.3 oz container)",100.5,usda
290699,,"Yogurt, Greek, low fat milk, plain (1 6 oz container)",113.9,usda
290700,,"Yogurt, Greek, low fat milk, plain (1 container)",100.5,usda
290701,,"Yogurt, Greek, low fat milk, plain (1 cup)",164.2,usda
290703,,"Yogurt, Greek, nonfat milk, plain (1 5.3 oz container)",88.5,usda
290704,,"Yogurt, Greek, nonfat milk, plain (1 6 oz container)",100.3,usda
290705,,"Yogurt, Greek, nonfat milk, plain (1 container)",88.5,usda
290706,,"Yogurt, Greek, nonfat milk, plain (1 cup)",144.6,usda
290708,,"Yogurt, fruit (1 4 oz container)",105.1,usda
290709,,"Yogurt, fruit (1 6 oz container)",158.1,usda
290710,,"Yogurt, fruit (1 container)",158.1,usda
290711,,"Yogurt, fruit (1 cup)",227.9,usda
290713,,"Yogurt, whole milk, fruit (1 4 oz container)",119.8,usda
290714,,"Yogurt, whole milk, fruit (1 6 oz container)",180.2,usda
290715,,"Yogurt, whole milk, fruit (1 container)",180.2,usda
290716,,"Yogurt, whole milk, fruit (1 cup)",259.7,usda
290718,,"Yogurt, low fat milk, fruit (1 4 oz container)",105.1,usda
290719,,"Yogurt, low fat milk, fruit (1 6 oz container)",158.1,usda
290720,,"Yogurt, low fat milk, fruit (1 container)",158.1,usda
290721,,"Yogurt, low fat milk, fruit (1 cup)",227.9,usda
290723,,"Yogurt, nonfat milk, fruit (1 4 oz container)",52.0,usda
290724,,"Yogurt, nonfat milk, fruit (1 6 oz container)",78.2,usda
290725,,"Yogurt, nonfat milk, fruit (1 container)",78.2,usda
290726,,"Yogurt, nonfat milk, fruit (1 cup)",112.7,usda
290728,,"Yogurt, Greek, fruit (1 5.3 oz container)",136.5,usda
290729,,"Yogurt, Greek, fruit (1 6 oz container)",154.7,usda
290730,,"Yogurt, Greek, fruit (1 container)",136.5,usda
290731,,"Yogurt, Greek, fruit (1 cup)",223.0,usda
290733,,"Yogurt, Greek, whole milk, fruit (1 5.3 oz container)",171.0,usda
290734,,"Yogurt, Greek, whole milk, fruit (1 6 oz container)",193.8,usda
290735,,"Yogurt, Greek, whole milk, fruit (1 container)",171.0,usda
290736,,"Yogurt, Greek, whole milk, fruit (1 cup)",279.3,usda
290738,,"Yogurt, Greek, low fat milk, fruit (1 5.3 oz container)",136.5,usda
290739,,"Yogurt, Greek, low fat milk, fruit (1 6 oz container)",154.7,usda
290740,,"Yogurt, Greek, low fat milk, fruit (1 container)",136.5,usda
290741,,"Yogurt, Greek, low fat milk, fruit (1 cup)",223.0,usda
290743,,"Yogurt, Greek, nonfat milk, fruit (1 5.3 oz container)",124.5,usda
290744,,"Yogurt, Greek, nonfat milk, fruit (1 6 oz container)",141.1,usda
290745,,"Yogurt, Greek, nonfat milk, fruit (1 container)",124.5,usda
290746,,"Yogurt, Greek, nonfat milk, fruit (1 cup)",203.4,usda
290748,,"Yogurt, flavors other than fruit (1 4 oz container)",92.7,usda
290749,,"Yogurt, flavors other than fruit (1 6 oz container)",139.4,usda
290750,,"Yogurt, flavors other than fruit (1 container)",139.4,usda
